City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
chernyy yar,40,RU,1552782600,80,64.44,40.96,272.15,4.0
comodoro rivadavia,0,AR,1552780800,49,-45.87,-67.48,296.15,1.5
nechi,56,CO,1552784706,94,5.59,-75.16,289.26,0.45
sioux lookout,75,CA,1552780800,49,50.1,-91.92,270.15,2.1
sabzevar,0,IR,1552784505,60,36.21,57.68,277.213,1.16
santa maria,75,BR,1552780800,83,-29.69,-53.81,297.15,4.1
sorland,0,NO,1552784730,100,67.67,12.69,275.238,2.76
fortuna,0,ES,1552784555,61,38.18,-1.13,285.93,3.1
rawson,92,AR,1552784734,95,-43.3,-65.11,290.713,6.31
grindavik,75,IS,1552784496,100,63.84,-22.43,275.15,3.1
kamiiso,20,JP,1552780800,55,41.82,140.65,277.15,4.1
bhanvad,0,IN,1552784741,90,21.93,69.78,290.488,3.46
broken hill,0,AU,1552780800,33,-31.97,141.45,298.15,3.6
palana,76,RU,1552784745,70,59.08,159.95,262.313,1.51
maceio,0,BR,1552784400,83,-9.67,-35.74,297.15,2.1
lompoc,1,US,1552784722,55,34.64,-120.46,296.48,8.7
shimoda,20,JP,1552784712,46,34.7,138.93,285.93,2.1
faya,0,SA,1552780800,82,18.39,42.45,288.15,3.6
hasaki,20,JP,1552784676,46,35.73,140.83,285.93,2.1
erenhot,0,CN,1552784760,54,43.65,111.97,270.738,5.61
umm lajj,0,SA,1552784762,100,25.02,37.27,288.188,5.36
khanpur,0,PK,1552784763,75,28.65,70.66,289.213,1.61
praxedis guerrero,75,MX,1552784504,75,31.37,-106.02,282.04,6.7
belluno,0,IT,1552784752,100,46.14,12.22,283.15,2.1
fairbanks,1,US,1552784450,42,64.84,-147.72,280.15,4.1
nizhniy baskunchak,92,RU,1552784772,89,48.22,46.83,274.088,4.01
trelew,92,AR,1552784775,95,-43.25,-65.31,290.713,6.31
necochea,80,AR,1552784190,96,-38.55,-58.74,292.59,1.34
mehamn,44,NO,1552784779,83,71.03,27.85,269.563,6.96
kayes,0,ML,1552784781,39,14.44,-11.44,295.038,2.06
kiunga,76,PG,1552784783,91,-6.12,141.3,297.713,1.16
nevsehir,40,TR,1552780200,80,38.62,34.71,275.37,3.1
lasa,20,CY,1552782600,71,34.92,32.53,287.15,2.6
diego de almagro,0,CL,1552784791,73,-26.39,-70.05,292.163,1.16
bilibino,0,RU,1552784794,61,68.06,166.44,247.413,1.41
verkhniy uslon,90,RU,1552782600,85,55.77,48.98,269.15,6.0
beyneu,100,KZ,1552784798,83,45.32,55.19,277.188,3.71
waipawa,32,NZ,1552783756,71,-39.94,176.59,292.04,2.81
evensk,24,RU,1552784802,100,61.92,159.24,256.663,2.21
marystown,100,CA,1552784193,100,47.17,-55.16,278.15,0.89
cairns,20,AU,1552784620,66,-16.92,145.77,303.15,6.2
gamba,0,CN,1552784811,25,28.28,88.52,246.913,1.11
gladstone,40,AU,1552784055,88,-23.84,151.26,298.15,3.1
tiznit,0,MA,1552784819,66,29.7,-9.73,289.463,1.31
burnie,80,AU,1552784643,55,-41.05,145.91,294.26,4.02
turukhansk,0,RU,1552784823,43,65.8,87.96,255.213,4.91
boyolangu,68,ID,1552784825,88,-8.09,111.9,296.088,1.86
hun,0,BE,1552784827,70,50.34,4.87,283.15,8.7
jardim,0,BR,1552784596,92,-21.48,-56.15,296.588,3.16
henties bay,88,NA,1552784533,93,-22.12,14.28,289.82,1.34
baruun-urt,0,MN,1552784834,64,46.68,113.28,270.738,7.11
avera,1,US,1552784731,70,33.19,-82.53,286.15,1.06
la ronge,40,CA,1552780800,48,55.1,-105.3,277.15,5.1
mumford,12,GH,1552784844,94,5.26,-0.76,299.163,3.46
havre-saint-pierre,90,CA,1552780980,92,50.23,-63.6,271.15,13.9
komsomolsk,90,RU,1552782600,94,57.03,40.38,273.15,3.0
talnakh,20,RU,1552784851,59,69.49,88.39,248.313,1.31
san jose,36,PH,1552784854,93,15.79,120.99,295.738,1.21
orasac,0,RS,1552784849,86,43.06,22.07,279.82,1.5
menongue,32,AO,1552784858,74,-14.66,17.68,291.738,1.86
manono,20,CD,1552784860,93,-7.3,27.4,294.913,1.31
mori,20,JP,1552784758,17,34.86,137.94,285.37,4.6
fukue,75,JP,1552784753,56,35.03,136.69,284.82,2.1
palmer,90,US,1552784821,80,61.6,-149.11,279.15,8.7
port moresby,90,PG,1552782600,94,-9.47,147.16,297.15,9.8
natal,75,BR,1552784400,94,-5.81,-35.21,300.15,5.7
ilulissat,0,GL,1552780200,59,69.22,-51.1,255.15,3.1
nassau,90,DE,1552784824,75,51.17,13.51,281.48,4.1
oktyabrskoye,40,RU,1552784727,85,56.73,85.44,267.04,4.0
walvis bay,0,NA,1552784533,82,-22.95,14.51,289.82,1.5
chumikan,80,RU,1552784886,88,54.72,135.31,264.063,1.86
panaba,68,MX,1552784888,45,21.28,-88.27,303.463,1.86
anloga,75,GH,1552780800,94,5.79,0.9,297.15,3.6
contamana,0,PE,1552784892,82,-7.35,-75.01,300.038,1.16
namibe,12,AO,1552784894,100,-15.19,12.15,298.963,1.41
hobe sound,90,US,1552784827,94,27.06,-80.14,296.48,4.1
sola,90,FI,1552784827,92,62.78,29.36,273.71,4.1
alampur,0,IN,1552784901,53,15.88,78.14,293.238,2.61
yulara,76,AU,1552780800,23,-25.24,130.99,303.15,4.6
rundu,0,NA,1552784905,46,-17.91,19.77,294.063,3.76
anticala,64,PH,1552784907,100,9.0,125.65,296.438,1.41
kaupanger,80,NO,1552784909,95,61.18,7.24,267.713,0.86
mayya,0,RU,1552782600,75,61.74,130.28,248.15,2.0
alamosa,1,US,1552784610,55,37.47,-105.87,282.15,2.1
kananga,56,CD,1552784916,98,-5.9,22.41,294.463,1.16
ondangwa,0,NA,1552780800,30,-17.91,15.98,301.15,1.5
alabaster,75,US,1552784736,44,33.24,-86.82,284.26,2.41
tautira,75,PF,1552784587,70,-17.73,-149.15,304.15,4.6
ribas do rio pardo,8,BR,1552784924,84,-20.45,-53.76,298.388,1.36
sande,20,DE,1552784659,70,51.76,8.66,284.82,9.8
ardakan,0,IR,1552780800,30,32.31,54.02,286.15,2.1
sampit,44,ID,1552784931,91,-2.54,112.95,298.063,2.06
kailua,20,US,1552784483,44,21.39,-157.74,301.48,3.6
the valley,20,AI,1552784503,69,18.22,-63.06,299.15,4.6
rurrenabaque,24,BO,1552784939,96,-14.44,-67.53,295.663,1.16
dewas,0,IN,1552780800,48,22.96,76.05,292.15,2.6
yumen,56,CN,1552784944,50,40.29,97.04,274.038,3.71
popondetta,76,PG,1552784805,88,-8.77,148.24,296.463,0.71
buta,8,CD,1552784950,80,2.79,24.73,295.988,0.76
shumskiy,68,RU,1552784952,93,54.83,99.13,273.638,2.11
puerto ayacucho,44,CO,1552784956,70,5.66,-67.63,301.438,2.16
dembi dolo,20,ET,1552784958,63,8.53,34.8,294.038,0.46
acajutla,0,SV,1552784741,58,13.59,-89.83,299.82,2.24
college,1,US,1552784645,42,64.86,-147.8,280.15,4.1
buritis,24,BR,1552784967,67,-15.62,-46.42,299.638,1.61
yar-sale,36,RU,1552784969,65,66.83,70.83,250.713,0.46
bonthe,0,SL,1552784971,88,7.53,-12.5,299.963,2.21
matara,76,PE,1552784973,81,-13.74,-72.9,282.388,0.86
cayenne,40,GF,1552782600,88,4.94,-52.33,297.15,3.06
faanui,68,PF,1552784978,100,-16.48,-151.75,302.038,4.81
markova,0,RU,1552784867,92,52.21,104.21,269.82,1.0
dauphin,1,CA,1552780800,74,51.15,-100.04,274.15,3.6
san jeronimo,76,PE,1552784986,81,-13.65,-73.37,282.388,0.86
el angel,20,EC,1552784988,77,0.62,-77.93,287.938,0.61
glogow,90,PL,1552784926,100,51.66,16.08,282.04,5.1
bukama,32,CD,1552784993,93,-9.2,25.85,293.813,1.46
nuevo progreso,90,US,1552784992,62,26.05,-97.95,287.59,3.6
inirida,32,CO,1552784997,82,3.87,-67.92,299.063,1.16
shakawe,0,BW,1552784999,60,-18.36,21.84,293.738,1.76
skjervoy,56,NO,1552785001,100,70.03,20.97,272.963,8.61
sorong,32,ID,1552785003,100,-0.86,131.25,300.563,2.81
red bluff,1,US,1552784920,57,40.18,-122.24,295.15,2.1
plettenberg bay,36,ZA,1552785008,96,-34.05,23.37,293.688,3.01
alofi,100,NU,1552780800,74,-19.06,-169.92,302.15,3.6
stephenville,90,US,1552784894,30,32.22,-98.2,287.15,1.5
muravlenko,12,RU,1552785016,88,63.79,74.5,260.913,3.91
kalmunai,92,LK,1552785020,93,7.42,81.82,298.188,1.41
pisco,0,PE,1552780800,78,-13.71,-76.2,296.15,10.3
petropavlovsk-kamchatskiy,0,RU,1552782600,53,53.05,158.65,267.15,2.0
ulladulla,75,AU,1552784532,77,-35.36,150.48,295.37,6.7
sistranda,20,NO,1552785000,100,63.73,8.83,273.15,8.2
rio grande,68,BR,1552784875,83,-32.03,-52.1,297.188,8.36
conakry,0,GN,1552785037,100,9.52,-13.7,299.488,3.71
solone,75,UA,1552783620,86,48.2,34.88,277.15,2.0
keelung,75,TW,1552784621,88,25.13,121.74,293.71,1.0
ust-tsilma,24,RU,1552785043,88,65.44,52.15,266.938,2.46
jieshi,8,CN,1552785045,96,22.82,115.83,292.088,6.56
alexandria,1,US,1552784647,81,31.31,-92.44,287.15,3.61
